validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
0.75,10,symmetric,symmetric,0.1,5,0.3483765187819218
0.75,10,symmetric,auto,0.001,5,0.3591240501626512
0.75,10,symmetric,auto,0.01,5,0.33212254646764405
0.75,10,symmetric,auto,0.1,5,0.3649974968389621
0.75,10,symmetric,,0.001,5,0.3634161265223956
0.75,10,symmetric,,0.01,5,0.35805952550956005
0.75,10,symmetric,,0.1,5,0.3584691413371651
0.75,10,asymmetric,symmetric,0.001,5,0.3565203077383875
0.75,10,asymmetric,symmetric,0.01,5,0.35069360083801776
0.75,10,asymmetric,symmetric,0.1,5,0.35518252489823776
0.75,10,asymmetric,auto,0.001,5,0.34949892558635837
0.75,10,asymmetric,auto,0.01,5,0.35849754848709875
0.75,10,asymmetric,auto,0.1,5,0.34617829399061495
0.75,10,asymmetric,,0.001,5,0.3603595473257942
0.75,10,asymmetric,,0.01,5,0.34997839877509795
0.75,10,asymmetric,,0.1,5,0.35804319161833587
0.75,12,symmetric,symmetric,0.001,5,0.3300880229930712
0.75,12,symmetric,symmetric,0.01,5,0.3275110953399008
0.75,12,symmetric,symmetric,0.1,5,0.3419100801180932
0.75,12,symmetric,auto,0.001,5,0.3246701047250932
0.75,12,symmetric,auto,0.01,5,0.3240270747193753
0.75,12,symmetric,auto,0.1,5,0.32972234942964523
0.75,12,symmetric,,0.001,5,0.3266623457212185
0.75,12,symmetric,,0.01,5,0.3316604605363632
0.75,12,symmetric,,0.1,5,0.3257262002143185
0.75,12,asymmetric,symmetric,0.001,5,0.32769898938126285
0.75,12,asymmetric,symmetric,0.01,5,0.3274801174253586
0.75,12,asymmetric,symmetric,0.1,5,0.32574093860048586
0.75,12,asymmetric,auto,0.001,5,0.32748733359485394
0.75,12,asymmetric,auto,0.01,5,0.3174552526173872
0.75,12,asymmetric,auto,0.1,5,0.3286441058655262
0.75,12,asymmetric,,0.001,5,0.32771671832764776
0.75,12,asymmetric,,0.01,5,0.3302820562443397
0.75,12,asymmetric,,0.1,5,0.3283411907831271
0.75,14,symmetric,symmetric,0.001,5,0.32543560338894123
0.75,14,symmetric,symmetric,0.01,5,0.35086502844880124
0.75,14,symmetric,symmetric,0.1,5,0.346710934868208
0.75,14,symmetric,auto,0.001,5,0.32843124246467303
0.75,14,symmetric,auto,0.01,5,0.3522771405303571
0.75,14,symmetric,auto,0.1,5,0.3460500146283262
